teacherid,year,mathscore,numaides,treatment,schoolid,grade,yr1_treatment
30001,2001,1057,2,1,1,3,2008
30002,2001,1230.5927,2,1,2,3,2004
30003,2001,1062.5518,2,0,3,3,0
30004,2001,1090.9584,2,0,4,3,0
30005,2001,1202.9259,2,0,5,3,0
30006,2001,1099.0344,2,0,6,3,0
30007,2001,1172.3667,2,1,7,3,2012
30008,2001,1311,2,1,8,3,2010
30009,2001,1015.9091,2,1,9,3,2010
30010,2001,949.15387,2,0,10,3,0
30011,2001,1144.2,2,1,11,3,2005
30012,2001,1148.75,2,0,12,3,0
30013,2001,1161.3478,2,1,13,3,2005
30014,2001,1043.9048,2,1,14,3,2007
30015,2001,1224.6957,2,1,15,3,2011
30016,2001,1073.5601,2,1,16,3,2011
30017,2001,998.77271,2,0,17,3,0
30018,2001,1118.8387,2,1,18,3,2012
30019,2001,1200.5416,2,0,19,3,0
30020,2001,1118.4073,2,1,20,3,2006
30021,2001,1069.0333,2,0,21,3,0
30022,2001,1203.2581,2,1,22,3,2007
30023,2001,1086.5416,2,1,23,3,2004
30024,2001,1141.6296,2,1,24,3,2008
30025,2001,1106.625,2,0,25,3,0
30026,2001,1168.037,2,1,26,3,2004
30027,2001,1103.7693,2,1,27,3,2012
30028,2001,1037.5834,2,0,28,3,0
30029,2001,1090,2,1,29,3,2009
30030,2001,1179.6538,2,1,30,3,2006
30031,2001,1110.6129,2,0,31,3,0
30032,2001,1182.9091,2,1,32,3,2007
30033,2001,1169.5,2,1,33,3,2006
30034,2001,1136.931,2,0,34,3,0
30035,2001,1199,2,1,35,3,2005
30036,2001,1171.7,2,1,36,3,2008
30037,2001,1146.5313,2,0,37,3,0
30038,2001,1147.2069,2,1,38,3,2007
30039,2001,1041.0909,2,0,39,3,0
30040,2001,1202.9642,2,1,40,3,2008
30041,2001,1129.7419,2,1,41,3,2008
30042,2001,1078.4667,2,1,42,3,2010
30043,2001,1059.5909,2,1,43,3,2007
30044,2001,949.27588,2,1,44,3,2008
30045,2001,1090.2963,2,1,1,3,2007
30046,2001,1045.7307,2,0,1,3,0
30047,2001,1038.1379,2,0,1,3,0
30048,2001,1096.2727,2,1,1,3,2005
30049,2001,1044.3182,2,1,1,3,2004
30050,2001,1148.1364,2,1,1,3,2007
30051,2001,1188.2593,2,1,1,3,2006
30052,2001,1142.0952,2,1,2,3,2012
30053,2001,1239.5,2,1,2,3,2010
30054,2001,1094.1482,2,0,2,3,0
30055,2001,1082.6666,2,0,2,3,0
30056,2001,1130.6957,2,0,2,3,0
30057,2001,1214.6207,2,0,3,3,0
30058,2001,1132.5358,2,0,3,3,0
30059,2001,1153.9667,2,0,3,3,0
30060,2001,1174.75,2,0,3,3,0
30061,2001,1162.1379,2,1,3,3,2005
30062,2001,998.43335,2,1,4,3,2007
30063,2001,1054.3226,2,1,4,3,2004
30064,2001,1168.3871,2,1,4,3,2005
30065,2001,1164.72,2,0,4,3,0
30066,2001,1029.4762,2,0,4,3,0
30067,2001,1022.625,2,0,4,3,0
30068,2001,1151.0952,2,1,4,3,2006
30069,2001,1117.2,2,1,5,3,2010
30070,2001,971.90625,2,0,5,3,0
30071,2001,1042.5,2,1,5,3,2007
30072,2001,1190.5625,2,0,5,3,0
30073,2001,1087.5,2,1,5,3,2005
30074,2001,1048.8,2,0,5,3,0
30075,2001,1245.9656,2,1,6,3,2008
30076,2001,1250.6154,2,1,6,3,2006
30077,2001,1044.5333,2,0,6,3,0
30078,2001,1120.8966,2,1,6,3,2005
30079,2001,1044.069,2,0,6,3,0
30080,2001,1156.375,2,1,7,3,2007
30081,2001,1241.3226,2,1,7,3,2004
30082,2001,1270.238,2,1,7,3,2011
30083,2001,1104.08,2,1,7,3,2010
30084,2001,1042.5862,2,0,8,3,0
30085,2001,1142.0416,2,0,8,3,0
30086,2001,1129.6666,2,1,8,3,2009
30087,2001,1026.4073,2,0,8,3,0
30088,2001,1077.6957,2,0,8,3,0
30089,2001,1122.3199,2,1,8,3,2006
30090,2001,1164.0909,2,1,9,3,2010
30091,2001,977.23334,2,1,9,3,2012
30092,2001,1138.9048,2,1,9,3,2012
30093,2001,1182.5385,2,1,9,3,2011
30094,2001,1075.8462,2,0,9,3,0
30095,2001,1118.7727,2,1,9,3,2011
30096,2001,1180.4839,2,0,10,3,0
30097,2001,1043.9678,2,0,10,3,0
30098,2001,1095.8636,2,0,10,3,0
30099,2001,1145.7667,2,0,10,3,0
30100,2001,1125.2581,2,0,10,3,0
30101,2001,1052.8846,2,0,10,3,0
30102,2001,1073.3793,2,0,11,3,0
30103,2001,1204.1923,2,1,11,3,2009
30104,2001,1149.2413,2,1,11,3,2007
30105,2001,898.31818,2,0,11,3,0
30106,2001,1114.1875,2,1,11,3,2009
30107,2001,1075.1428,2,0,12,3,0
30108,2001,1120.2188,2,0,12,3,0
30109,2001,984.84003,2,1,12,3,2007
30110,2001,1060.5714,2,1,12,3,2005
30111,2001,1119.7273,2,0,12,3,0
